300 m,300 m,300 m,300 m,DATA,
536 m,536 m,536 m,536 m,DATA,
"8,2 km","8,2 km","8,2 km","8,2 km",DATA,уже в испанском формате
"4,8","4,8","4,8","4,8",DATA,"рейтинг, уже в испанском формате"
4.8,"4,8","4,8","4,8",DATA,"рейтинг, испанский формат — запятая"
"5,0","5,0","5,0","5,0",DATA,"рейтинг, уже в испанском формате"
PIN: 1050,PIN: 1050,PIN: 1050,PIN: 1050,DATA,"код подтверждения, числовой, без изменений"
 Оnline transfer,Transferencia en línea,Transferencia en línea,Transferencia en línea,UI,способ оплаты (кириллическая О сохранена в исходнике по ошибке дизайна)
$13,COP 17.000,"S/ 16,00",$4.25,DATA,
$15・Сash,"COP 20.000, Efectivo","S/ 19,00, Efectivo","$5.00, Efectivo",DATA,
$17,COP 22.000,"S/ 21,00",$5.50,DATA,
"$17, Cash","COP 22.000, Efectivo","S/ 21,00, Efectivo","$5.50, Efectivo",DATA,
$20,COP 25.000,"S/ 24,00",$6.25,DATA,
$56,COP 75.000,"S/ 71,00",$18.75,DATA,
$56 Cash,"COP 75.000, Efectivo","S/ 71,00, Efectivo","$18.75, Efectivo",DATA,
$7・Сash,"COP 9.000, Efectivo","S/ 8,50, Efectivo","$2.25, Efectivo",DATA,
A$56,COP 75.000,"S/ 71,00",$18.75,DATA,было в австралийских долларах
"The last similar order was accepted for $60, we recommend raising your fare","El último pedido similar fue aceptado por COP 90.000, te recomendamos subir tu tarifa","El último pedido similar fue aceptado por S/ 85,50, te recomendamos subir tu tarifa","El último pedido similar fue aceptado por $22.50, te recomendamos subir tu tarifa",DATA,
16 Ascot Street,Calle 85 # 19-40,Calle 85 # 19-40,Calle 85 # 19-40,DATA,
20 Ingram Str. ,Calle 45 # 8-12,Calle 45 # 8-12,Calle 45 # 8-12,DATA,дубль адреса отправления с пробелом в конце
"20 Molodezhnaya St Flat 15, 4th floor, intercom doesn't work, call me when you get here","Calle 26 # 68-90, apto. 15, piso 4, el citófono no funciona, llámame cuando llegues","Calle 26 # 68-90, apto. 15, piso 4, el citófono no funciona, llámame cuando llegues","Calle 26 # 68-90, apto. 15, piso 4, el citófono no funciona, llámame cuando llegues",DATA,было на английском с русским топонимом
"33 Burnett Ln, Brisbane City QLD","Calle 72 # 10-34, Bogotá","Calle 72 # 10-34, Bogotá","Calle 72 # 10-34, Bogotá",DATA,вариант основного адреса отправления
"43/3 Sarikopodshipnikovaia St Flat 17, 4th floor, intercom 17","Carrera 24 # 68-15, apto. 17, piso 4, citófono 17","Carrera 24 # 68-15, apto. 17, piso 4, citófono 17","Carrera 24 # 68-15, apto. 17, piso 4, citófono 17",DATA,
45 Rockefeller Plaza,"Zona T, Bogotá","Zona T, Bogotá","Zona T, Bogotá",DATA,пример места назначения
"4th floor, 135 apt, first door on the left, knock three times and wait","Piso 4, apto 135, primera puerta a la izquierda, toca tres veces y espera","Piso 4, apto 135, primera puerta a la izquierda, toca tres veces y espera","Piso 4, apto 135, primera puerta a la izquierda, toca tres veces y espera",DATA,
Newark Liberty Airport Amtrak,Aeropuerto El Dorado,Aeropuerto El Dorado,Aeropuerto El Dorado,DATA,
NJ TRANSIT-Newark Penn Station,Terminal de Transportes de Bogotá,Terminal de Transportes de Bogotá,Terminal de Transportes de Bogotá,DATA,
"Tuesday,  23 June","Martes, 23 de junio","Martes, 23 de junio","Martes, 23 de junio",DATA,дубль с двойным пробелом в исходнике
Maria,María,María,María,DATA,"имя отправителя/получателя (не курьер), любой пол"
Gaurav,Mateo,Mateo,Mateo,DATA,имя+фото 4-й аватарки курьера -> Mateo.png из Userpics
Silver Mercedes-Benz C-Class,Mercedes-Benz Clase C Plateado,Mercedes-Benz Clase C Plateado,Mercedes-Benz Clase C Plateado,DATA,
Silver Mercedes-Benz  C-Class,Mercedes-Benz Clase C Plateado,Mercedes-Benz Clase C Plateado,Mercedes-Benz Clase C Plateado,DATA,дубль с двойным пробелом в исходнике
Volkswagen Golf,Chevrolet Onix,Chevrolet Onix,Chevrolet Onix,DATA,"машина непопулярна в Колумбии, заменена по референсу"
Yamaha YZF-R3,Bajaj Pulsar 200,Bajaj Pulsar 200,Bajaj Pulsar 200,DATA,"мотоцикл непопулярен в Колумбии, заменена по референсу"
ABX 123,ABC456,ABC456,ABC456,DATA,"гос. номер, колумбийский формат"
Good day! Would you please be so kind as to take my huge surprise box to the esteemed members of my gorgeous family? I would be most grateful for it,¡Buen día! ¿Serías tan amable de llevar mi caja sorpresa grande a los miembros de mi hermosa familia? Te lo agradecería mucho,¡Buen día! ¿Serías tan amable de llevar mi caja sorpresa grande a los miembros de mi hermosa familia? Te lo agradecería mucho,¡Buen día! ¿Serías tan amable de llevar mi caja sorpresa grande a los miembros de mi hermosa familia? Te lo agradecería mucho,DATA,
"You can drive up from the pharmacy, near the barrier","Puedes acercarte desde la farmacia, cerca de la barrera","Puedes acercarte desde la farmacia, cerca de la barrera","Puedes acercarte desde la farmacia, cerca de la barrera",DATA,
Accept,Aceptar,Aceptar,Aceptar,UI,
Decline,Rechazar,Rechazar,Rechazar,UI,
Has the package been delivered?,¿Se entregó el paquete?,¿Se entregó el paquete?,¿Se entregó el paquete?,UI,
Have you passed the parcel to the courier?,¿Le entregaste el paquete al mensajero?,¿Le entregaste el paquete al mensajero?,¿Le entregaste el paquete al mensajero?,UI,
Keep finding a courier,Seguir buscando mensajero,Seguir buscando mensajero,Seguir buscando mensajero,UI,
Keep searching,Seguir buscando,Seguir buscando,Seguir buscando,UI,
More than 3 passengers,Más de 3 pasajeros,Más de 3 pasajeros,Más de 3 pasajeros,UI,
"Ok, I’m coming","Ok, ya voy","Ok, ya voy","Ok, ya voy",UI,
On the way,En camino,En camino,En camino,UI,
Optional,Opcional,Opcional,Opcional,UI,
Options,Opciones,Opciones,Opciones,UI,
Order complete,Pedido completado,Pedido completado,Pedido completado,UI,
Order description,Descripción del pedido,Descripción del pedido,Descripción del pedido,UI,
Order will be delivered in  ~25 min,El pedido se entregará en ~25 min,El pedido se entregará en ~25 min,El pedido se entregará en ~25 min,UI,двойной пробел в исходнике
OTP,OTP,OTP,OTP,UI,оставлено как распространённая аббревиатура
PIN-code protection,Protección con código PIN,Protección con código PIN,Protección con código PIN,UI,
"PIN-code protection, Pharmacy, Size S. Up to 5 kg","Protección con código PIN, Farmacia, Tamaño S. Hasta 5 kg","Protección con código PIN, Farmacia, Tamaño S. Hasta 5 kg","Protección con código PIN, Farmacia, Tamaño S. Hasta 5 kg",UI,
"PIN-code protection, Size S. Up to 5 kg","Protección con código PIN, Tamaño S. Hasta 5 kg","Protección con código PIN, Tamaño S. Hasta 5 kg","Protección con código PIN, Tamaño S. Hasta 5 kg",UI,
Payment,Pago,Pago,Pago,UI,
"Pharmacy, Dentistry equipment","Farmacia, Equipo dental","Farmacia, Equipo dental","Farmacia, Equipo dental",UI,
Problem with delivery?,¿Problema con la entrega?,¿Problema con la entrega?,¿Problema con la entrega?,UI,
Quick check before delivery,Verificación rápida antes de la entrega,Verificación rápida antes de la entrega,Verificación rápida antes de la entrega,UI,
Raise fare,Subir tarifa,Subir tarifa,Subir tarifa,UI,
Rate your courier,Califica a tu mensajero,Califica a tu mensajero,Califica a tu mensajero,UI,
Ready for delivery,Listo para entregar,Listo para entregar,Listo para entregar,UI,
Recipient’s phone,Teléfono del destinatario,Teléfono del destinatario,Teléfono del destinatario,UI,вариант с типографским апострофом
Repeat order,Repetir pedido,Repetir pedido,Repetir pedido,UI,
Save as template,Guardar como plantilla,Guardar como plantilla,Guardar como plantilla,UI,
Searching,Buscando,Buscando,Buscando,UI,
Searching for couriers nearby...,Buscando mensajeros cercanos...,Buscando mensajeros cercanos...,Buscando mensajeros cercanos...,UI,
Searching for couriers...,Buscando mensajeros...,Buscando mensajeros...,Buscando mensajeros...,UI,
Sender pays for delivery,El remitente paga el envío,El remitente paga el envío,El remitente paga el envío,UI,
Sender’s phone,Teléfono del remitente,Teléfono del remitente,Teléfono del remitente,UI,вариант с типографским апострофом
Superapp,Superapp,Superapp,Superapp,UI,"оставлено как есть, бренд-термин"
Support ,Soporte ,Soporte ,Soporte ,UI,дубль с пробелом в конце
The items are allowed for delivery and packed properly,Los artículos están permitidos para el envío y bien empacados,Los artículos están permitidos para el envío y bien empacados,Los artículos están permitidos para el envío y bien empacados,UI,
The total value of the package does not exceed X,El valor total del paquete no supera X,El valor total del paquete no supera X,El valor total del paquete no supera X,UI,
Thermal bag,Maleta térmica,Maleta térmica,Maleta térmica,UI,"англ. вариант того же узла, что и «Термосумка»"
Weight and size of the package meet requirements,El peso y tamaño del paquete cumplen los requisitos,El peso y tamaño del paquete cumplen los requisitos,El peso y tamaño del paquete cumplen los requisitos,UI,
Weight and size requirements,Requisitos de peso y tamaño,Requisitos de peso y tamaño,Requisitos de peso y tamaño,UI,
XL,XL,XL,XL,UI,"тариф/размер, не переводится"
Yes,Sí,Sí,Sí,UI,
No,No,No,No,UI,
Your current ride,Tu viaje actual,Tu viaje actual,Tu viaje actual,UI,
Your offer,Tu oferta,Tu oferta,Tu oferta,UI,
Сonfirmation,Confirmación,Confirmación,Confirmación,UI,опечатка в оригинале (кириллическая С) сохранена
Joe’s Pizza,Pizzería Julia,Pizzería Julia,Pizzería Julia,DATA,вариант с типографским апострофом
|,|,|,|,DATA,"курсор автодополнения, оставлен как есть"
Add address details and phone number,Agrega los detalles de la dirección y el número de teléfono,Agrega los detalles de la dirección y el número de teléfono,Agrega los detalles de la dirección y el número de teléfono,UI,
Add phone number,Agregar número de teléfono,Agregar número de teléfono,Agregar número de teléfono,UI,
Adding points,Agregando puntos,Agregando puntos,Agregando puntos,UI,
Is waiting,Está esperando,Está esperando,Está esperando,UI,
~15 min,~15 min,~15 min,~15 min,DATA,
~5 min,~5 min,~5 min,~5 min,DATA,
~7 min,~7 min,~7 min,~7 min,DATA,
–12%,–12%,–12%,–12%,DATA,"бейдж скидки, без изменений"
–20%,–20%,–20%,–20%,DATA,"бейдж скидки, без изменений"
